1,เสื้อนักเรียนหญิง,ผ้าชนิดนี้มีคุณสมบัติในการระบายอากาศได้ดี ทำให้ผู้สวมใส่รู้สึกสบาย ไม่ร้อนอบอ้าวดูแลรักษาง่าย ซักง่าย แห้งเร็ว ไม่ยับง่าย และสีไม่ตกง่าย,240,JPG,2
2,กระโปง,ผ้าโทเร (Tore): เป็นผ้าสังเคราะห์ชนิดหนึ่งที่มีความแข็งแรง ทนทานต่อการขาดและการยับ มีความมันวาวเล็กน้อย และให้สัมผัสที่เย็นสบาย,160,JPG,2
3,ถุงเท้า, ทำจากเส้นใยสังเคราะห์ ทำให้ถุงเท้านักเรียนมีอายุการใช้งานที่ยาวนานมีความยืดหยุ่นสูง ทำให้ถุงเท้ากระชับพอดีกับเท้า,20,JPG,3
4,รองเท้านักเรียนหญิง,ทำจาก PU (Polyurethane) ซึ่งเป็นวัสดุที่เลียนแบบลักษณะของหนังแท้ แต่มีน้ำหนักเบา ทำให้สวมใส่สบาย ไม่รู้สึกหนักเท้า,150,JPG,3
5,รองเท้าผ้าใบนักเรียนชาย, ทำจากผ้าใบใช้ทำส่วนบนของรองเท้า เพื่อให้ระบายอากาศได้ดีและสวมใส่สบาย,150,JPG,3
6,เสื้อเนตรนารี,ผ้าฝ้าย หรือ ผ้าผสม ที่มีความทนทาน ระบายอากาศดี ช่วยให้รู้สึกสบายตัวแม้ในสภาพอากาศร้อน ,260,JPG,1
7,ปากกา,ปากกาลายมือเส้นที่คมชัด,45,JPG,4
8,ดินสอ,ปลอกดินสอส่วนใหญ่ทำจาก ไม้ โดยเฉพาะไม้ซีดาร์ ซึ่งมีกลิ่นหอม เนื้อไม้ค่อนข้างนิ่ม ทำให้เหลาได้ง่าย,5,JPG,4
9,ไม้บรรทัดพลาสติก,ไม้บรรทัดพลาสติกส่วนใหญ่ทำจากพลาสติก PVCหรืออะคริลิกซึ่งเป็นวัสดุสังเคราะห์ ทำให้บรรทัดมีลักษณะโปร่งใสทำให้มองเห็นตัวเลขและเส้นแบ่งได้ชัดเจน,5,JPG,4
10,กบเหล่าดินสอ, กบเหลาดินสอจะทำจากวัสดุหลายชนิดผสมผสานกัน เพื่อให้ได้ทั้งความแข็งแรง ทนทาน และใช้งานได้สะดวก,10,JPG,2
11,ยางลบ,เป็นวัสดุมีความยืดหยุ่นสูง ทำให้ลบรอยดินสอได้อย่างมีประสิทธิภาพ,5,JPG,4
12,กระเป๋าใส่อุปกรณ์การเรียน,ทำจากผ้าใบ เป็นวัสดุที่แข็งแรง ทนทานต่อการขูดขีด และมีน้ำหนักเบา เหมาะสำหรับการใช้งานในชีวิตประจำวัน มีให้เลือกหลายสีและลวดลาย,30,JPG,4
